'707', NULL, 'B701', 'B703', 'JT3C', NULL, 'B707-120/JT3C', 'INM 6.1 aircraft.dbf'
'HS125', 'LEAR25', 'H25A', 'H25B', NULL, NULL, 'Hawker-Siddeley 125', 'INM 6.1 acft_sub.dbf'
'HS1258', 'LEAR35', 'H25B', 'H25B', NULL, NULL, 'Bae (Hawker-Siddeley) 125-800', 'INM 6.1 acft_sub.dbf'
'HS748', NULL, 'A748', 'AT72', 'DART MK536-2', NULL, 'RR DART RDA7 MK 536-2', 'INM 6.1 aircraft.dbf'
'HS748A', NULL, 'A748', 'AT72', 'DART MK532-2', NULL, 'HS748/DART MK532-2', 'INM 6.1 aircraft.dbf'
'HUNTER', NULL, 'HAWK', 'FGTN', 'AVON RA28', NULL, 'RR AVON RA28', 'INM 6.1 aircraft.dbf'
'IA1123', 'LEAR25', 'WW23', NULL, NULL, NULL, 'IAI 1123 Westwind', 'INM 6.1 acft_sub.dbf'
'IA1124', 'IA1125', 'WW24', 'H25B', NULL, NULL, 'IAI 1124 Westwind', 'INM 6.1 acft_sub.dbf'
'IA1125', NULL, 'ASTR', 'LJ45', 'TFE731-3A', NULL, 'ASTRA 1125/TFE731-3A', 'INM 6.1 aircraft.dbf'
'IARAVA', 'DHC6', 'ARVA', NULL, NULL, NULL, 'IAI Arava', 'INM 6.1 acft_sub.dbf'
'IL114', 'CVR580', 'I114', NULL, NULL, NULL, 'Ilyushin-114', 'INM 6.1 acft_sub.dbf'
'IL62', '707QN', 'IL62', 'B703', NULL, NULL, 'Ilyushin-62', 'INM 6.1 acft_sub.dbf'
'IL76', 'DC8QN', 'IL76', 'A30B', NULL, NULL, 'Ilyushin-76', 'INM 6.1 acft_sub.dbf'
'IL86', 'DC8QN', 'IL86', 'DC87', NULL, NULL, 'Ilyushin-86', 'INM 6.1 acft_sub.dbf'
'IL96', '747200', 'IL96', 'DC87', NULL, NULL, 'Illyushin-96', 'INM 6.1 acft_sub.dbf'
'JAGUAR', NULL, 'JAGR', 'FGTN', NULL, NULL, 'SEPECAT JAGUAR', 'INM 6.1 aircraft.dbf'
'JPATS', NULL, 'TEX2', NULL, 'PT6A-68', 'PT6A68', 'Raytheon T-6A Texan II / PT6A-68', 'INM 6.1 aircraft.dbf'
'JST1TF', 'LEAR35', 'L29A', 'CL60', NULL, NULL, 'Jetstar 1 Turbofan', 'INM 6.1 acft_sub.dbf'
'JST1TJ', 'LEAR25', 'L29A', 'CL60', NULL, NULL, 'Jetstar 1 Turbojet', 'INM 6.1 acft_sub.dbf'
'JST2TF', 'LEAR35', 'L29B', 'CL60', NULL, NULL, 'Lockheed Jetstar 2', 'INM 6.1 acft_sub.dbf'
'KC10A', NULL, 'DC10', 'DC10', 'CF6-50C1-C2', '1GE007', 'CFG-50C2', 'INM 6.1 aircraft.dbf'
'KC135', NULL, 'K35A', 'B703', 'J57-P-59W', NULL, 'KC135A/J57-P-59W', 'INM 6.1 aircraft.dbf'
'KC-135', NULL, 'K35A', 'B703', 'F108-CF-100', 'F108', 'BOEING STRATOTANKER KC135R F108-CF100', 'INM 6.1 aircraft.dbf'
'KC135B', NULL, 'C135', 'B703', 'JT3D-7 SERIES', '1PW002', 'KC135B/JT3D-7', 'INM 6.1 aircraft.dbf'
'KC135', '707320', 'K35', 'B703', NULL, NULL, 'Boeing KC135 Stratotanker (Re-engined)', 'INM 6.1 acft_sub.dbf'
'KC135R', NULL, 'K35R', 'B703', 'CFM56-2B-1', '1CM002', 'KC135R/CFM56-2B-1', 'INM 6.1 aircraft.dbf'
'KC97L', NULL, 'C97', NULL, 'R-436-59B', NULL, 'BOEING STRATOFREIGHTER PW R-436-59B', 'INM 6.1 aircraft.dbf'
'L1011', NULL, 'L101', 'L101', 'RB211-22B', '1RR003', 'L1011/RB211-22B', 'INM 6.1 aircraft.dbf'
'L10115', NULL, 'L101', 'L101', 'RB211-224B', NULL, 'L1011-500/RB211-224B', 'INM 6.1 aircraft.dbf'
'L188', NULL, 'L188', 'C130', 'ALL 501-D13', NULL, 'L188C/ALL 501-D13', 'INM 6.1 aircraft.dbf'
'LA42', 'GASEPV', 'LA4', NULL, NULL, NULL, 'Lake LA-4-200 Buccaneer', 'INM 6.1 acft_sub.dbf'
'LEAR23', 'LEAR25', 'LJ23', NULL, 'CJ610-4', NULL, 'Learjet 23', 'INM 6.1 acft_sub.dbf'
'LEAR24', 'LEAR25', 'LJ24', 'FA10', 'CJ610-6', 'CJ6106', 'Learjet 24', 'INM 6.1 acft_sub.dbf'
'LEAR25', NULL, 'LJ25', 'LJ35', 'CJ610-8', NULL, 'LEAR 25/CJ610-8', 'INM 6.1 aircraft.dbf'
'LEAR31', 'LEAR35', 'LJ31', 'LJ35', NULL, NULL, 'Learjet 31', 'INM 6.1 acft_sub.dbf'
'LEAR35', NULL, 'LJ35', 'LJ35', 'TFE731-2', NULL, 'LEAR 36/TFE731-2', 'INM 6.1 aircraft.dbf'
'LEAR36', 'LEAR35', 'LJ35', 'LJ35', NULL, NULL, 'Learjet 36', 'INM 6.1 acft_sub.dbf'
'LEAR45', 'LEAR35', 'LJ45', 'LJ45', NULL, NULL, 'Learjet 45', 'INM 6.1 acft_sub.dbf'
'LEAR55', 'LEAR35', 'LJ55', 'LJ35', NULL, NULL, 'Learjet 55', 'INM 6.1 acft_sub.dbf'
'LEAR60', 'LEAR35', 'LJ60', 'LJ45', NULL, NULL, 'Learjet 60', 'INM 6.1 acft_sub.dbf'
'LIGHTN', NULL, 'LTNG', NULL, 'AVON 302C', NULL, 'BAC Lightning /RR AVON 302C', 'INM 6.1 aircraft.dbf'
'LOADMS', 'SD330', 'LOAD', NULL, NULL, NULL, 'Ayres LoadMaster', 'INM 6.1 acft_sub.dbf'
'M20J', 'GASEPV', 'M20P', 'TRIN', NULL, NULL, 'Mooney 201LM and 205 (M20J)', 'INM 6.1 acft_sub.dbf'
'M20K', 'GASEPV', 'M20T', 'TRIN', NULL, NULL, 'Mooney 252TSE (M20K)', 'INM 6.1 acft_sub.dbf'
'M20L', 'GASEPV', 'M20P', 'TRIN', NULL, NULL, 'Mooney Pegasus (M20L)', 'INM 6.1 acft_sub.dbf'
'MB339C', 'A7D', 'M339', NULL, NULL, NULL, 'Aermacchi M.B. 339-C', 'INM 6.1 acft_sub.dbf'
'MD11G', NULL, 'MD11', 'MD11', 'CF6-80C2D1F', '1GE031', 'MD-11/CF6-80C2D1F', 'INM 6.1 aircraft.dbf'
'MD11PW', NULL, 'MD11', 'MD11', 'PW4460', '1PW052', 'MD-11/PW 4460', 'INM 6.1 aircraft.dbf'
'MD80', 'MD81', 'MD80', NULL, NULL, NULL, 'McDonnell-Douglas  MD80', 'INM 6.1 acft_sub.dbf'
'MD81', NULL, 'MD81', 'MD83', 'JT8D-209', '1PW017', 'MD-81/JT8D-209', 'INM 6.1 aircraft.dbf'
'MD82', NULL, 'MD82', 'MD83', 'JT8D-217A', '4PW069', 'MD-82/JT8D-217A', 'INM 6.1 aircraft.dbf'
'MD83', NULL, 'MD83', 'MD83', 'JT8D-219', '1PW019', 'MD-83/JT8D-219', 'INM 6.1 aircraft.dbf'
'MD87', 'MD81', 'MD87', 'MD83', NULL, NULL, 'McDonnell-Douglas  MD87', 'INM 6.1 acft_sub.dbf'
'MD88', 'MD83', 'MD88', 'MD83', NULL, NULL, 'McDonnell-Douglas  MD88', 'INM 6.1 acft_sub.dbf'
'MD8819', 'MD81', 'MD88', 'MD83', 'JT8D-119', NULL, 'MD88 w/JT8D-119', 'INM 6.1 acft_sub.dbf'
'MD9025', NULL, 'MD90', 'MD83', 'V2525-D5', '1IA002', 'MD-90/V2525-D5', 'INM 6.1 aircraft.dbf'
'MD9028', NULL, 'MD90', 'MD83', 'V2528-D5', '1IA004', 'MD-90/V2528-D5', 'INM 6.1 aircraft.dbf'
'MU2', 'DHC6', 'MU2', 'MU2', NULL, NULL, 'Mitsubishi MU-2', 'INM 6.1 acft_sub.dbf'
'MU300', 'CNA500', 'MU30', 'C550', NULL, NULL, 'Mitsubishi Diamond MU-300', 'INM 6.1 acft_sub.dbf'
'MU3001', NULL, 'MU30', 'C550', 'JT15D-4', NULL, 'MU300-10/JT15D-4', 'INM 6.1 aircraft.dbf'
'N24', 'CNA441', 'NOMA', NULL, NULL, NULL, 'Gov. Aircraft Factories N24', 'INM 6.1 acft_sub.dbf'
'NIMROD', NULL, 'NIM', 'B703', 'SPEY MK511', '8RR043', 'RR SPEY MK511', 'INM 6.1 aircraft.dbf'
'NRD262', 'SD330', 'N262', 'JS41', NULL, NULL, 'Nord-Aviation NORD-262', 'INM 6.1 acft_sub.dbf'
'OV1', 'DHC6', 'V1', NULL, NULL, NULL, 'Grumman Mohawk OV-1', 'INM 6.1 acft_sub.dbf'
'OV10A', NULL, 'V10', NULL, 'T76', NULL, 'ROCKWELL BRONCO T76', 'INM 6.1 aircraft.dbf'
'P3A', NULL, 'P3', 'C130', 'T56-A-14', 'T56A14', 'LOCKHEED ORION T56-A-14', 'INM 6.1 aircraft.dbf'
'P3C', NULL, 'P3', 'C130', 'T56-A-14', 'T56A14', 'LOCKHEED ORION / T56-A-14', 'INM 6.1 aircraft.dbf'
'PA17', 'GASEPF', 'PA17', NULL, NULL, NULL, 'Piper PA-17 Vagabond', 'INM 6.1 acft_sub.dbf'
'PA18', 'GASEPF', 'PA18', 'P28A', NULL, NULL, 'Piper PA-18 Super Cub', 'INM 6.1 acft_sub.dbf'
'PA22CO', 'GASEPF', 'PA22', NULL, NULL, NULL, 'Piper PA-22 Colt', 'INM 6.1 acft_sub.dbf'
'PA22TR', 'GASEPF', 'PA22', NULL, NULL, NULL, 'Piper PA-22 Tripacer', 'INM 6.1 acft_sub.dbf'
'PA23AP', 'BEC58P', 'PA27', 'PA27', NULL, NULL, 'Piper PA-23-235 Apach', 'INM 6.1 acft_sub.dbf'
'PA23AZ', 'BEC58P', 'PA27', 'PA27', NULL, NULL, 'Piper PA-23 Aztec', 'INM 6.1 acft_sub.dbf'
'PA24', 'GASEPV', 'PA24', NULL, NULL, NULL, 'Piper PA-24 Comanch', 'INM 6.1 acft_sub.dbf'
'PA25', 'GASEPV', 'PA25', NULL, NULL, NULL, 'Piper PA-25 Pawne', 'INM 6.1 acft_sub.dbf'
'PA28AR', 'GASEPF', 'PA28', NULL, NULL, NULL, 'Piper PA-28-181 Archer II', 'INM 6.1 acft_sub.dbf'
'PA28C2', 'GASEPV', 'P28B', 'P28A', NULL, NULL, 'Piper PA-28-235E Cherokee 235', 'INM 6.1 acft_sub.dbf'
'PA28CA', 'GASEPV', 'P28R', 'TRIN', NULL, NULL, 'Piper PA-28R-200 Cherokee Arrow II', 'INM 6.1 acft_sub.dbf'
'PA28CC', 'GASEPF', 'P28A', 'P28A', NULL, NULL, 'Piper PA-28-180 Cherokee Challenger', 'INM 6.1 acft_sub.dbf'
'PA28CH', 'GASEPF', 'P28A', 'P28A', NULL, NULL, 'Piper PA-28-140 Cherokee 140', 'INM 6.1 acft_sub.dbf'
'PA28DK', 'GASEPV', 'P28B', 'P28A', NULL, NULL, 'Piper PA-28-236 Dakota', 'INM 6.1 acft_sub.dbf'
'PA28WA', 'GASEPF', 'P28A', 'P28A', NULL, NULL, 'Piper PA-28-161 Warrior II', 'INM 6.1 acft_sub.dbf'
'PA30', 'BEC58P', 'PA30', NULL, NULL, NULL, 'Piper PA-30 Twin Comanch', 'INM 6.1 acft_sub.dbf'
'PA31', 'BEC58P', 'PA31', 'PA31', NULL, NULL, 'Piper PA-31 Navajo', 'INM 6.1 acft_sub.dbf'
'PA31CH', 'BEC58P', 'PA31', 'PA31', NULL, NULL, 'Piper PA-31-350 Chieftain', 'INM 6.1 acft_sub.dbf'
'PA31T', 'CNA441', 'PAY2', 'PAY2', NULL, NULL, 'Piper PA-31T Cheyenn', 'INM 6.1 acft_sub.dbf'
'PA32C6', 'GASEPV', 'PA32', 'PA34', NULL, NULL, 'Piper PA-32 Cherokee Six', 'INM 6.1 acft_sub.dbf'
'PA32LA', 'GASEPV', 'P32R', 'PA34', NULL, NULL, 'Piper PA-32R-300 Lanc', 'INM 6.1 acft_sub.dbf'
'PA32SG', 'GASEPV', 'PA32', 'PA34', NULL, NULL, 'Piper PA-32 Saratoga', 'INM 6.1 acft_sub.dbf'
'PA34', 'BEC58P', 'PA34', 'PA34', NULL, NULL, 'Piper PA-34 Seneca', 'INM 6.1 acft_sub.dbf'
'PA36', 'BEC58P', 'PA36', NULL, NULL, NULL, 'Piper 36 Brav', 'INM 6.1 acft_sub.dbf'
'PA38', 'GASEPF', 'PA38', NULL, NULL, NULL, 'Piper PA-38-112 Tomahawk', 'INM 6.1 acft_sub.dbf'
'PA39', 'BEC58P', 'PA30', NULL, NULL, NULL, 'Piper PA-39 Twin Comanche C/R', 'INM 6.1 acft_sub.dbf'
'PA42', 'CNA441', 'PAY3', 'PAY3', NULL, NULL, 'Piper PA-42 Cheyenne III', 'INM 6.1 acft_sub.dbf'
'PA44', 'BEC58P', 'PA44', 'PA27', NULL, NULL, 'Piper 44 Seminol', 'INM 6.1 acft_sub.dbf'
'PA46', 'GASEPV', 'PA46', NULL, NULL, NULL, 'Piper PA-46 Malibu', 'INM 6.1 acft_sub.dbf'
'PA60', 'BEC58P', 'AEST', 'FGTN', NULL, NULL, 'Piper Aerostar Model 600/700', 'INM 6.1 acft_sub.dbf'
'PA61', 'BEC58P', 'AEST', 'FGTN', NULL, NULL, 'Piper PA-61 Aerostar Model 601', 'INM 6.1 acft_sub.dbf'
'PC6', 'GASEPV', 'PC6P', NULL, NULL, NULL, 'Pilatus PC-6', 'INM 6.1 acft_sub.dbf'
'PHANTO', NULL, 'F4', 'FGTN', NULL, NULL, 'MCDONNELL DOUGLAS PHANTOM F-4', 'INM 6.1 aircraft.dbf'
'PITTS1', 'GASEPF', 'PTS1', NULL, NULL, NULL, 'Pitts S-1 Special', 'INM 6.1 acft_sub.dbf'
'PROVOS', NULL, 'JPRO', NULL, 'VIPER 11', NULL, 'BRISTON SIDDELEY VIPER 11', 'INM 6.1 aircraft.dbf'
'RJ70', 'BAE146', 'RJ70', 'B462', NULL, NULL, 'RJ70 Avroliner', 'INM 6.1 acft_sub.dbf'
'RWCM12', 'GASEPF', 'AC11', NULL, NULL, NULL, 'Rockwell Commander 112 (Alpine)', 'INM 6.1 acft_sub.dbf'
'RWCM14', 'GASEPV', 'AC11', NULL, NULL, NULL, 'Rockwell Commander 114 (Gram Turismo)', 'INM 6.1 acft_sub.dbf'
'RWCM50', 'BEC58P', 'AC50', NULL, NULL, NULL, 'Rockwell Shrike Commander 500S', 'INM 6.1 acft_sub.dbf'
'RWCM69', 'CNA441', 'AC90', 'BE20', NULL, NULL, 'Rockwell Turbo Commander 690', 'INM 6.1 acft_sub.dbf'
'RWCMTH', 'GASEPV', 'SS2P', NULL, NULL, NULL, 'Rockwell Thrust Commander (SR2)', 'INM 6.1 acft_sub.dbf'
'S2', 'DC3', 'S2P', NULL, NULL, NULL, 'Grumman S-2 Tracker', 'INM 6.1 acft_sub.dbf'
'S212', 'CNA500', 'S211', NULL, NULL, NULL, 'Siai Marchetti S212', 'INM 6.1 acft_sub.dbf'
'S3A&B', NULL, 'F3', NULL, 'TF34-GE-2', NULL, 'LOCKHEED VIKING TF34-6E-2', 'INM 6.1 aircraft.dbf'
'SA226', 'DHC6', 'SW4', 'SW3', NULL, NULL, 'Swearingen Metro II', 'INM 6.1 acft_sub.dbf'
'SA227', 'DHC6', 'SW4', 'SW3', NULL, NULL, 'Swearingen Metro III', 'INM 6.1 acft_sub.dbf'
'SAAB20', 'HS748A', 'SB20', 'SB20', NULL, NULL, 'SAAB 2000', 'INM 6.1 acft_sub.dbf'
'SABR40', 'LEAR25', 'SBR1', 'FA20', NULL, NULL, 'Sabreliner 40', 'INM 6.1 acft_sub.dbf'
'SABR60', 'LEAR25', 'SBR1', 'FA20', NULL, NULL, 'Sabreliner 60', 'INM 6.1 acft_sub.dbf'
'SABR65', 'LEAR35', 'SBR1', 'FA20', NULL, NULL, 'Sabreliner 65', 'INM 6.1 acft_sub.dbf'
'SABR70', 'LEAR25', 'SBR2', NULL, NULL, NULL, 'Sabreliner 70', 'INM 6.1 acft_sub.dbf'
'SABR75', 'LEAR25', 'SBR2', NULL, NULL, NULL, 'Sabreliner 75', 'INM 6.1 acft_sub.dbf'
'SABR80', NULL, 'SBR2', NULL, NULL, NULL, 'NA SABRELINER 80', 'INM 6.1 aircraft.dbf'
'SAMER2', 'CNA441', 'SW2', 'SW3', NULL, NULL, 'Swearingen Merlin II', 'INM 6.1 acft_sub.dbf'
'SAMER3', 'CNA441', 'SW3', 'SW3', NULL, NULL, 'Swearingen Merlin III', 'INM 6.1 acft_sub.dbf'
'SAMER4', 'DHC6', 'SW4', 'SW3', NULL, NULL, 'Swearingen Merlin IV', 'INM 6.1 acft_sub.dbf'
'SD330', NULL, 'SH33', 'SH36', 'PT6A-45AR', NULL, 'Shorts SD330 Sherpa/PT6A-45AR', 'INM 6.1 aircraft.dbf'
'SD360', 'SD330', 'SH36', 'SH36', NULL, NULL, 'Shorts 360', 'INM 6.1 acft_sub.dbf'
'SE210', '737', 'S210', NULL, NULL, NULL, 'Aerospatiale Caravell', 'INM 6.1 acft_sub.dbf'
'SF260M', 'GASEPV', 'F260', NULL, NULL, NULL, 'Siai Marchetti SF260M', 'INM 6.1 acft_sub.dbf'
'SF340', NULL, 'SF34', 'SF34', 'CT7-9B', 'CT79B', 'SAAB SF340B/CT7-9B', 'INM 6.1 aircraft.dbf'
'SN600', 'CNA500', 'S601', 'C550', NULL, NULL, 'Aerospatiale SN 600 Corvett', 'INM 6.1 acft_sub.dbf'
'SR71', NULL, 'SR71', NULL, 'JT11D-20B', NULL, 'SR-71 Blackbird/JT11D-20B', 'INM 6.1 aircraft.dbf'
'T1', NULL, 'T33', NULL, 'JT15D-5-5A-5B', '1PW037', 'LOCKHEED SEA STAR JT15D-5', 'INM 6.1 aircraft.dbf'
'T29', NULL, '????', NULL, 'R-2800-99W', NULL, 'GENERAL DYNAMICS CV34 PW R-2800-99W', 'INM 6.1 aircraft.dbf'
'T-2C', NULL, 'T2', NULL, 'J85-GE-4', NULL, 'ROCKWELL BUCKEYE J85-6E-4', 'INM 6.1 aircraft.dbf'
'T3', NULL, '????', NULL, 'AEIO-540-D4A5', NULL, 'AEIO-540-D4A5', 'INM 6.1 aircraft.dbf'
'T33A', NULL, 'T33', NULL, NULL, NULL, 'LOCKHEED T-33A J33-35', 'INM 6.1 aircraft.dbf'
'T34', NULL, 'T34T', NULL, 'PT6A-25', NULL, 'BEECH MENTOR (BE45) PT6A-25', 'INM 6.1 aircraft.dbf'
'T37', 'LEAR25', 'T37', NULL, NULL, NULL, 'USAF Cessna T37 or 318', 'INM 6.1 acft_sub.dbf'
'T37B', NULL, 'T37', NULL, 'J69-T-25', NULL, 'CESSNA 318 J69-T-25', 'INM 6.1 aircraft.dbf'
'T38', 'LEAR25', 'T38', NULL, NULL, NULL, 'USAF Northrop T38', 'INM 6.1 acft_sub.dbf'
'T-38A', NULL, 'T38', NULL, NULL, NULL, 'NORTHROP TALON T-38A', 'INM 6.1 aircraft.dbf'
'T39A', NULL, 'SBR1', 'FA20', 'J85', NULL, 'ROCKWELL SABRELINER GEJ85', 'INM 6.1 aircraft.dbf'
'T41', NULL, 'C172', 'P28A', 'O-329-E2D', NULL, 'CESSNA 172 O-320-E2D', 'INM 6.1 aircraft.dbf'
'T42', NULL, 'BE55', 'D228', NULL, NULL, 'BEECH BARON (BE55)', 'INM 6.1 aircraft.dbf'
'T43A', '737', 'B732', 'B732', NULL, NULL, 'USAF 737-200', 'INM 6.1 acft_sub.dbf'
'T-43A', NULL, 'B732', 'B732', NULL, NULL, 'BOEING 737 T43A', 'INM 6.1 aircraft.dbf'
'T44', NULL, '????', NULL, NULL, NULL, 'T44', 'INM 6.1 aircraft.dbf'
'T45', NULL, 'SS2T', NULL, 'PT6A-45AG', 'P645AG', 'Ayres S2R-T45/PT6A-45AG', 'INM 6.1 aircraft.dbf'
'T47A', 'CNA500', 'C550', 'C550', NULL, NULL, 'US Navy Cessna Citation S/II', 'INM 6.1 acft_sub.dbf'
'TAYF19', 'GASEPF', 'TF19', NULL, NULL, NULL, 'Taylorcraft Sprtsman 100 (F19)', 'INM 6.1 acft_sub.dbf'
'TED600', 'BEC58P', 'AEST', 'FGTN', NULL, NULL, 'Ted Smith Aerostar 600', 'INM 6.1 acft_sub.dbf'
'TORNAD', NULL, 'TOR', 'FGTN', 'RB199-34R', NULL, 'Tornado RB199-34R', 'INM 6.1 aircraft.dbf'
'TR1', NULL, 'U2', NULL, 'J75-P-13B', NULL, 'Lockheed TR-1/J75-P-13B', 'INM 6.1 aircraft.dbf'
'TU134', 'DC930', 'T134', 'T134', NULL, NULL, 'Tupolev-134', 'INM 6.1 acft_sub.dbf'
'TU154', '727D17', 'T154', 'T154', NULL, NULL, 'Tupolev-154', 'INM 6.1 acft_sub.dbf'
'TU204', '757RR', 'T204', 'B752', NULL, NULL, 'Tupolev-204', 'INM 6.1 acft_sub.dbf'
'TU334', 'F10065', 'TU34', NULL, NULL, NULL, 'Tuploev-334', 'INM 6.1 acft_sub.dbf'
'U2', NULL, 'U2', NULL, 'J75-P-13', NULL, 'LOCKHEED U2 J75-P-13', 'INM 6.1 aircraft.dbf'
'U21', NULL, 'U21', NULL, 'PT6A-20', 'PT6A20', 'BEECH UTE PW PT6A-20', 'INM 6.1 aircraft.dbf'
'U3', 'BEC58P', 'C310', 'PA31', NULL, NULL, 'USAF Cessna Model 310', 'INM 6.1 acft_sub.dbf'
'U4B', NULL, 'AC68', NULL, 'G0-540B1A', NULL, 'ROCKWELL SUPER COMMANDER 1G0-540B1A', 'INM 6.1 aircraft.dbf'
'U6', NULL, 'DHC2', NULL, 'R-985', NULL, 'DEHAVILLAND BEAVER PW R-985 DHC-2', 'INM 6.1 aircraft.dbf'
'U8F', NULL, 'BE65', NULL, '0-480-1 D50', NULL, 'BEECH SEMINOLE 0-480-1 D50', 'INM 6.1 aircraft.dbf'
'UV18', 'DHC6', 'DHC6', NULL, NULL, NULL, 'US Military DHC-6 Twin Otter', 'INM 6.1 acft_sub.dbf'
'VC10', NULL, 'VC10', 'B703', 'CONWAY RCO-42', NULL, 'Vickers VC10/RR CONWAY RC0-42', 'INM 6.1 aircraft.dbf'
'VC10TF', '707', 'VC10', 'B703', NULL, NULL, 'Vickers VC10 TurboFan', 'INM 6.1 acft_sub.dbf'
'VC10TJ', 'DC820', 'VC10', 'B703', NULL, NULL, 'Vickers VC10 TurboJet', 'INM 6.1 acft_sub.dbf'
'VC2', 'L188', 'VISC', NULL, NULL, NULL, 'Vickers VC2 Viscount', 'INM 6.1 acft_sub.dbf'
'VICTOR', NULL, 'P68', 'PA31', NULL, NULL, 'BRITISH AEROSPACE VICTOR', 'INM 6.1 aircraft.dbf'
'VULCAN', NULL, '????', NULL, 'OLYMPUS 301', NULL, 'BRITTEN NORMAN VULCAN RR OLYMPUS 301', 'INM 6.1 aircraft.dbf'
'YAK42', '727100', 'YK42', 'B461', NULL, NULL, 'Yakolev Yak-42', 'INM 6.1 acft_sub.dbf'
'YC14', NULL, '????', NULL, 'CF6-50D', NULL, 'GE CF6-50D', 'INM 6.1 aircraft.dbf'
'YC15', NULL, 'C15', NULL, 'JT8D-17', '1PW012', 'PWJT8D-17', 'INM 6.1 aircraft.dbf'
'YS11', 'HS748A', 'YS11', NULL, NULL, NULL, 'Nihon Aeroplane (NAMC) YS-11', 'INM 6.1 acft_sub.dbf'
'YS11C', 'HS748A', 'YS11', NULL, NULL, NULL, 'Nihon Aeroplane (NAMC) YS-11 Cargo', 'INM 6.1 acft_sub.dbf'