stage,count,source_modules,dispersion modules,timestamp
process(),1,MovementSource,,0.114031
process(),2,MovementSource,,0.096018
process(),3,MovementSource,,0.093839
process(),4,MovementSource,,0.075
process(),5,MovementSource,,0.011
process(),6,MovementSource,,0.141004
process(),7,MovementSource,,0.110996
process(),8,MovementSource,,0.133
process(),9,MovementSource,,0.133
process(),10,MovementSource,,0.133
process(),11,MovementSource,,0.118976
process(),12,MovementSource,,0.164027
process(),13,MovementSource,,0.111999
process(),14,MovementSource,,0.105866
process(),15,MovementSource,,0.083999
process(),16,MovementSource,,0.144999
process(),17,MovementSource,,0.117999
process(),18,MovementSource,,0.098
process(),19,MovementSource,,0.140004
process(),20,MovementSource,,0.010996
process(),21,MovementSource,,0.010948
process(),22,MovementSource,,0.011052
process(),23,MovementSource,,0.016001
process(),24,MovementSource,,0.011
process(),25,MovementSource,,0.072999
process(),26,MovementSource,,0.105001
process(),27,MovementSource,,0.209982
process(),28,MovementSource,,0.188018
process(),29,MovementSource,,0.156999
process(),30,MovementSource,,0.195874
process(),31,MovementSource,,0.318
process(),32,MovementSource,,0.255997
process(),33,MovementSource,,0.326
process(),34,MovementSource,,0.261056
process(),35,MovementSource,,0.209048
process(),36,MovementSource,,0.302998
process(),37,MovementSource,,0.200983
process(),38,MovementSource,,0.202021
process(),39,MovementSource,,0.225998
process(),40,MovementSource,,0.262999
process(),41,MovementSource,,0.24075
process(),42,MovementSource,,0.175001
process(),43,MovementSource,,0.135
process(),44,MovementSource,,0.106997
process(),45,MovementSource,,0.011002
process(),46,MovementSource,,0.010998
process(),47,MovementSource,,0.011
process(),48,MovementSource,,0.011003
process(),49,MovementSource,,0.072947
process(),50,MovementSource,,0.152834
process(),51,MovementSource,,0.242002
process(),52,MovementSource,,0.197998
process(),53,MovementSource,,0.18017
process(),54,MovementSource,,0.225
process(),55,MovementSource,,0.298006
process(),56,MovementSource,,0.256995
process(),57,MovementSource,,0.322999
process(),58,MovementSource,,0.172824
process(),59,MovementSource,,0.150053
process(),60,MovementSource,,0.310007
process(),61,MovementSource,,0.195
process(),62,MovementSource,,0.216993
process(),63,MovementSource,,0.174001
process(),64,MovementSource,,0.152
process(),65,MovementSource,,0.122982
process(),66,MovementSource,,0.185319
process(),67,MovementSource,,0.093001
process(),68,MovementSource,,0.011999
process(),69,MovementSource,,0.106
process(),70,MovementSource,,0.078983
process(),71,MovementSource,,0.011017
process(),72,MovementSource,,0.011004
process(),73,MovementSource,,0.010996
process(),74,MovementSource,,0.103003
process(),75,MovementSource,,0.155998
process(),76,MovementSource,,0.193999
process(),77,MovementSource,,0.162003
process(),78,MovementSource,,0.132997
process(),79,MovementSource,,0.286865
process(),80,MovementSource,,0.303859
process(),81,MovementSource,,0.252999
process(),82,MovementSource,,0.224
process(),83,MovementSource,,0.208002
process(),84,MovementSource,,0.299829
process(),85,MovementSource,,0.208999
process(),86,MovementSource,,0.225002
process(),87,MovementSource,,0.259998
process(),88,MovementSource,,0.327004
process(),89,MovementSource,,0.132945
process(),90,MovementSource,,0.216036
process(),91,MovementSource,,0.138999
process(),92,MovementSource,,0.011
process(),93,MovementSource,,0.009999
process(),94,MovementSource,,0.012001
process(),95,MovementSource,,0.011001
process(),96,MovementSource,,0.010998
process(),97,MovementSource,,0.075
process(),98,MovementSource,,0.244001
process(),99,MovementSource,,0.198999
process(),100,MovementSource,,0.241998
process(),101,MovementSource,,0.189
process(),102,MovementSource,,0.185011
process(),103,MovementSource,,0.296
process(),104,MovementSource,,0.192999
process(),105,MovementSource,,0.280001
process(),106,MovementSource,,0.314011
process(),107,MovementSource,,0.181
process(),108,MovementSource,,0.252
process(),109,MovementSource,,0.288
process(),110,MovementSource,,0.231
process(),111,MovementSource,,0.262018
process(),112,MovementSource,,0.261
process(),113,MovementSource,,0.312016
process(),114,MovementSource,,0.125999
process(),115,MovementSource,,0.196001
process(),116,MovementSource,,0.116999
process(),117,MovementSource,,0.012001
process(),118,MovementSource,,0.011
process(),119,MovementSource,,0.009999
process(),120,MovementSource,,0.012
process(),121,MovementSource,,0.011
process(),122,MovementSource,,0.190001
process(),123,MovementSource,,0.205
process(),124,MovementSource,,0.244999
process(),125,MovementSource,,0.190184
process(),126,MovementSource,,0.226001
process(),127,MovementSource,,0.304
process(),128,MovementSource,,0.304
process(),129,MovementSource,,0.239989
process(),130,MovementSource,,0.131661
process(),131,MovementSource,,0.077999
process(),132,MovementSource,,0.175
process(),133,MovementSource,,0.274003
process(),134,MovementSource,,0.236996
process(),135,MovementSource,,0.199166
process(),136,MovementSource,,0.228
process(),137,MovementSource,,0.221129
process(),138,MovementSource,,0.181001
process(),139,MovementSource,,0.171999
process(),140,MovementSource,,0.097001
process(),141,MovementSource,,0.010946
process(),142,MovementSource,,0.074055
process(),143,MovementSource,,0.010998
process(),144,MovementSource,,0.011
process(),145,MovementSource,,0.079
process(),146,MovementSource,,0.161001
process(),147,MovementSource,,0.202999
process(),148,MovementSource,,0.231
process(),149,MovementSource,,0.219181
process(),150,MovementSource,,0.240001
process(),151,MovementSource,,0.287999
process(),152,MovementSource,,0.369982
process(),153,MovementSource,,0.301019
process(),154,MovementSource,,0.240242
process(),155,MovementSource,,0.189999
process(),156,MovementSource,,0.265871
process(),157,MovementSource,,0.281002
process(),158,MovementSource,,0.242
process(),159,MovementSource,,0.22987
process(),160,MovementSource,,0.267002
process(),161,MovementSource,,0.225111
process(),162,MovementSource,,0.153051
process(),163,MovementSource,,0.148001
process(),164,MovementSource,,0.117003
process(),165,MovementSource,,0.011999
process(),166,MovementSource,,0.010001
process(),167,MovementSource,,0.011998
process(),168,MovementSource,,0.010999
process(),169,MovementSource,,0.073998
process(),170,MovementSource,,0.210001
process(),171,MovementSource,,0.225174
process(),172,MovementSource,,0.135001
process(),173,MovementSource,,0.191
process(),174,MovementSource,,0.24
process(),175,MovementSource,,0.341002
process(),176,MovementSource,,0.211998
process(),177,MovementSource,,0.247163
process(),178,MovementSource,,0.209
process(),179,MovementSource,,0.238006
process(),180,MovementSource,,0.285997
process(),181,MovementSource,,0.272997
process(),182,MovementSource,,0.273871
process(),183,MovementSource,,0.275999
process(),184,MovementSource,,0.314
process(),185,MovementSource,,0.171
process(),186,MovementSource,,0.184981
process(),187,MovementSource,,0.141965
process(),188,MovementSource,,0.125055
process(),189,MovementSource,,0.010999
process(),190,MovementSource,,0.012
process(),191,MovementSource,,0.011626
process(),192,MovementSource,,0.011608
process(),193,MovementSource,,0.011012
process(),194,MovementSource,,0.231003
process(),195,MovementSource,,0.247946
process(),196,MovementSource,,0.215056
process(),197,MovementSource,,0.237998
process(),198,MovementSource,,0.189001
process(),199,MovementSource,,0.378858
process(),200,MovementSource,,0.312999
process(),201,MovementSource,,0.281003
process(),202,MovementSource,,0.235997
process(),203,MovementSource,,0.224006
process(),204,MovementSource,,0.266245
process(),205,MovementSource,,0.324001
process(),206,MovementSource,,0.204002
process(),207,MovementSource,,0.24886
process(),208,MovementSource,,0.296999
process(),209,MovementSource,,0.184623
process(),210,MovementSource,,0.150569
process(),211,MovementSource,,0.105002
process(),212,MovementSource,,0.011995
process(),213,MovementSource,,0.011002
process(),214,MovementSource,,0.011998
process(),215,MovementSource,,0.011004
process(),216,MovementSource,,0.01
process(),217,MovementSource,,0.013006
process(),218,MovementSource,,0.13999
process(),219,MovementSource,,0.211
process(),220,MovementSource,,0.191
process(),221,MovementSource,,0.232171
process(),222,MovementSource,,0.228001
process(),223,MovementSource,,0.253162
process(),224,MovementSource,,0.238999
process(),225,MovementSource,,0.244948
process(),226,MovementSource,,0.175001
process(),227,MovementSource,,0.25805
process(),228,MovementSource,,0.26887
process(),229,MovementSource,,0.235001
process(),230,MovementSource,,0.230999
process(),231,MovementSource,,0.167002
process(),232,MovementSource,,0.157
process(),233,MovementSource,,0.135998
process(),234,MovementSource,,0.272981
process(),235,MovementSource,,0.011019
process(),236,MovementSource,,0.079001
process(),237,MovementSource,,0.012999
process(),238,MovementSource,,0.011
process(),239,MovementSource,,0.011001
process(),240,MovementSource,,0.018268
process(),241,MovementSource,,0.073999
process(),242,MovementSource,,0.123007
process(),243,MovementSource,,0.172995
process(),244,MovementSource,,0.153999
process(),245,MovementSource,,0.153999
process(),246,MovementSource,,0.155983
process(),247,MovementSource,,0.319018
process(),248,MovementSource,,0.24186
process(),249,MovementSource,,0.257978
process(),250,MovementSource,,0.26088
process(),251,MovementSource,,0.195001
process(),252,MovementSource,,0.353999
process(),253,MovementSource,,0.204003
process(),254,MovementSource,,0.266747
process(),255,MovementSource,,0.243
process(),256,MovementSource,,0.242
process(),257,MovementSource,,0.273981
process(),258,MovementSource,,0.152019
process(),259,MovementSource,,0.096948
process(),260,MovementSource,,0.012055
process(),261,MovementSource,,0.011997
process(),262,MovementSource,,0.011006
process(),263,MovementSource,,0.010994
process(),264,MovementSource,,0.013
process(),265,MovementSource,,0.077766
process(),266,MovementSource,,0.224008
process(),267,MovementSource,,0.245
process(),268,MovementSource,,0.225999
process(),269,MovementSource,,0.233001
process(),270,MovementSource,,0.214
process(),271,MovementSource,,0.271015
process(),272,MovementSource,,0.281
process(),273,MovementSource,,0.1
process(),274,MovementSource,,0.08
process(),275,MovementSource,,0.278
process(),276,MovementSource,,0.263
process(),277,MovementSource,,0.313029
process(),278,MovementSource,,0.269001
process(),279,MovementSource,,0.405
process(),280,MovementSource,,0.27
process(),281,MovementSource,,0.256054
process(),282,MovementSource,,0.227856
process(),283,MovementSource,,0.230997
process(),284,MovementSource,,0.149997
process(),285,MovementSource,,0.076004
process(),286,MovementSource,,0.010995
process(),287,MovementSource,,0.012948
process(),288,MovementSource,,0.012001
process(),289,MovementSource,,0.074997
process(),290,MovementSource,,0.200001
process(),291,MovementSource,,0.313
process(),292,MovementSource,,0.281015
process(),293,MovementSource,,0.27
process(),294,MovementSource,,0.205999
process(),295,MovementSource,,0.380014
process(),296,MovementSource,,0.215
process(),297,MovementSource,,0.277938
process(),298,MovementSource,,0.233
process(),299,MovementSource,,0.179004
process(),300,MovementSource,,0.348001
process(),301,MovementSource,,0.229862
process(),302,MovementSource,,0.222
process(),303,MovementSource,,0.278946
process(),304,MovementSource,,0.284
process(),305,MovementSource,,0.213
process(),306,MovementSource,,0.18
process(),307,MovementSource,,0.151999
process(),308,MovementSource,,0.116001
process(),309,MovementSource,,0.010999
process(),310,MovementSource,,0.013
process(),311,MovementSource,,0.012001
process(),312,MovementSource,,0.011
process(),313,MovementSource,,0.012
process(),314,MovementSource,,0.300004
process(),315,MovementSource,,0.248049
process(),316,MovementSource,,0.242004
process(),317,MovementSource,,0.188943
process(),318,MovementSource,,0.251
process(),319,MovementSource,,0.340999
process(),320,MovementSource,,0.342001
process(),321,MovementSource,,0.238
process(),322,MovementSource,,0.177
process(),323,MovementSource,,0.216
process(),324,MovementSource,,0.348003
process(),325,MovementSource,,0.262
process(),326,MovementSource,,0.250001
process(),327,MovementSource,,0.325999
process(),328,MovementSource,,0.302034
process(),329,MovementSource,,0.197964
process(),330,MovementSource,,0.254298
process(),331,MovementSource,,0.1857
process(),332,MovementSource,,0.148
