ACR,ACFT_ID,ENGINE,%,MOST_FREQ
DC6,DC6-A,FOCA-20,100,*
DC7,DC7-A,FOCA-20,100,*
DC85,DC85-A,1PW001,100,*
DC86,DC86-A,1PW003,83.05,*
DC86,DC86-B,1PW001,16.95,
DC87,DC87-A,1CM003,89.82,*
DC87,DC87-B,1CM002,10.18,
DC91,DC91-A,8PW085,100,*
DC92,DC92-A,1PW008,100,*
DC93,DC93-A,1PW007,99.63,*
DC93,DC93-B,1PW010,0.15,
DC93,DC93-C,1PW013,0.15,
DC93,DC93-D,8PW085,0.07,
DC95,DC95-A,1PW014,98.27,*
DC95,DC95-B,1PW013,1.73,
DG50,DG50-A,FOCA-9,100,*
DH2T,DH2T-A,FOI-18,91.67,*
DH2T,DH2T-B,PT6A-27,8.33,
DH3T,DH3T-A,FOI-16,66.67,*
DH3T,DH3T-B,FOCA-20,33.33,
DH60,DH60-A,FOCA-11,100,*
DH82,DH82-A,FOCA-13,100,*
DH8A,DH8A-A,FOI-67,83.68,*
DH8A,DH8A-B,FOI-66,16.32,
DH8B,DH8B-A,FOI-71,78.71,*
DH8B,DH8B-B,FOI-72,20.75,
DH8B,DH8B-C,FOI-70,0.54,
DH8C,DH8C-A,FOI-70,59.54,*
DH8C,DH8C-B,FOI-69,38.89,
DH8C,DH8C-C,FOI-71,1.19,
DH8C,DH8C-D,FOI-72,0.35,
DH8C,DH8C-E,FOI-73,0.01,
DH8C,DH8C-F,FOI-67,0.01,
DH8D,DH8D-A,PW150A,100,*
DHC2,DHC2-A,FOCA-19,100,*
DHC3,DHC3-A,FOCA-4,100,*
DHC4,DHC4-A,FOCA-20,100,*
DHC6,DHC6-A,PT6A-27,99.96,*
DHC6,DHC6-B,FOI-18,0.04,
DHC7,DHC7-A,FOI-30,100,*
DIMO,DIMO-A,FOCA-11,100,*
DO27,DO27-A,FOCA-3,100,*
DO28,DO28-A,FOCA-3,100,*
DOVE,DOVE-A,FOCA-14,100,*
DR10,DR10-A,FOCA-5,100,*
DR22,DR22-A,FOCA-12,100,*
DR30,DR30-A,FOCA-7,100,*
DR40,DR40-A,FOCA-7,100,*
DT45,DT45-A,FOI-10,100,*
DTA1,DTA1-A,FOCA-9,100,*
DV20,DV20-A,FOCA-13,100,*
E110,E110-A,FOI-21,100,*
E120,E120-A,FOI-60,100,*
E120,E120-B,FOI-61,0,
E121,E121-A,PT6A-28,90.57,*
E121,E121-B,FOI-16,9.43,
E135,E135-A,01P06AL034,100,*
E145,E145-A,4AL003,41.68,*
E145,E145-B,01P06AL028,58.32,
E145,E145-C,01P06AL034,0,
E170,E170-A,01P08GE197,100,*
E190,E190-A,CF34-10E,100,*
E195,E195-A,11GE144,100,*
E195,E195-B,CF34-10E,0,
E290,E290-A,01P20PW187,100,*
E295,E295-A,01P20PW187,100,*
E300,E300-A,FOCA-4,100,*
E314,E314-A,FOI-47,100,*
E35L,E35L-A,01P06AL034,99.54,*
E35L,E35L-B,01P10AL033,0.46,
E390,E390-A,01P14IA026,100,*
E400,E400-A,FOCA-4,100,*
E500,E500-A,FOCA-8,100,*
E50P,E50P-A,PW610F,100,*
E530,E530-A,1AS001,100,*
E545,E545-A,01P14HN016,100,*
E550,E550-A,01P14HN016,100,*
E55P,E55P-A,PW530,100,*
E55P,E55P-B,1AS001,0,
E737,E737-A,8CM051,100,*
E75L,E75L-A,01P08GE197,100,*
E75S,E75S-A,01P08GE197,100,*
EA40,EA40-A,1PW035,100,*
EA50,EA50-A,PW610F,100,*
EC20,EC20-A,FOI-88,100,*
EC25,EC25-A,FOI-52,100,*
EC30,EC30-A,FOI-54,100,*
EC35,EC35-A,FOI-86,100,*
EC45,EC45-A,FOI-51,100,*
EC55,EC55-A,FOI-59,100,*
EC75,EC75-A,FOI-52,100,*
ECHO,ECHO-A,FOCA-11,100,*
EDGE,EDGE-A,FOCA-14,100,*
EGRT,EGRT-A,FOI-108,100,*
EM10,EM10-A,1PW037,100,*
EN28,EN28-A,FOCA-15,100,*
EPIC,EPIC-A,FOI-43,100,*
ERCO,ERCO-A,FOCA-10,100,*
EUPA,EUPA-A,FOCA-11,100,*
EV97,EV97-A,FOCA-11,100,*
EVOP,EVOP-A,FOCA-3,100,*
EVOT,EVOT-A,FOI-16,100,*
EVSS,EVSS-A,FOCA-11,100,*
EXPL,EXPL-A,FOI-89,100,*
EXPR,EXPR-A,FOCA-3,100,*
F100,F100-A,3RR031,87.83,*
F100,F100-B,1RR020,12.17,
F104,F104-A,8RR043,100,*
F18H,F18H-A,8RR043,100,*
F2,F2-A,01P11BR016,100,*
F22,F22-A,8CM051,100,*
F26T,F26T-A,FOI-11,100,*
F27,F27-A,FOI-9,100,*
F28,F28-A,4RR035,100,*
F2TH,F2TH-A,CF700-2D,35.91,
F2TH,F2TH-B,01P07PW146,64.09,*
F35,F35-A,1IA004,100,*
F406,F406-A,FOI-12,100,*
F50,F50-A,FOI-75,100,*
F50,F50-B,FOI-78,0,
F600,F600-A,FOI-11,100,*
F70,F70-A,1RR020,100,*
F8L,F8L-A,FOCA-6,100,*
F900,F900-A,1AS002,100,*
FA10,FA10-A,1AS001,100,*
FA20,FA20-A,1AS002,99.75,*
FA20,FA20-B,CF700-2D,0.25,
FA24,FA24-A,FOCA-2,100,*
FA50,FA50-A,1AS002,100,*
FA5X,FA5X-A,01P22PW141,100,*
FA6X,FA6X-A,01P22PW141,100,*
FA7X,FA7X-A,01P16PW143,100,*
FA8X,FA8X-A,01P15PW144,100,*
FAET,FAET-A,FOCA-12,100,*
FANT,FANT-A,FOI-19,100,*
FBA2,FBA2-A,FOCA-8,100,*
FDCT,FDCT-A,FOCA-11,100,*
G109,G109-A,FOCA-11,100,*
G115,G115-A,FOCA-7,100,*
G120,G120-A,FOCA-3,100,*
G12T,G12T-A,FOI-11,100,*
G140,G140-A,FOI-11,100,*
G150,G150-A,1AS002,100,*
G159,G159-A,FOI-9,100,*
G180,G180-A,1AS001,100,*
G200,G200-A,FOCA-2,100,*
G21,G21-A,FOCA-19,100,*
G21T,G21T-A,PT6A-27,100,*
G250,G250-A,7PW077,100,*
G280,G280-A,01P11HN012,100,*
G3,G3-A,FOCA-11,100,*
G73,G73-A,FOI-21,100,*
GA20,GA20-A,FOCA-3,100,*
GA5C,GA5C-A,01P22PW141,100,*
GA6C,GA6C-A,01P22PW142,100,*
GA7,GA7-A,FOCA-6,100,*
GA8,GA8-A,FOCA-14,69.26,*
GA8,GA8-B,FOCA-3,30.74,
GALX,GALX-A,7PW077,100,*
GC1,GC1-A,FOCA-12,100,*
GFLY,GFLY-A,1PW035,100,*
GL5T,GL5T-A,01P04BR013,100,*
GL7T,GL7T-A,01P04BR013,100,*
GLAS,GLAS-A,FOCA-2,100,*
GLEX,GLEX-A,01P04BR013,100,*
GLF2,GLF2-A,8RR043,100,*
GLF3,GLF3-A,8RR043,100,*
GLF4,GLF4-A,11RR048,100,*
GLF5,GLF5-A,4BR008,100,*
GLF6,GLF6-A,01P11BR016,100,*
GLSP,GLSP-A,FOCA-6,100,*
GLST,GLST-A,FOCA-6,100,*
GM17,GM17-A,FOI-14,100,*
GNAT,GNAT-A,1AS002,100,*
GOLF,GOLF-A,FOCA-11,100,*
GP4,GP4-A,FOCA-2,100,*
GSPN,GSPN-A,1AS001,55.56,*
GSPN,GSPN-B,1PW036,44.44,
GX,GX-A,FOCA-11,100,*
GY80,GY80-A,FOCA-7,100,*
H111,H111-A,FOCA-20,100,*
H2,H2-A,FOI-52,100,*
H25A,H25A-A,1AS002,100,*
H25B,H25B-A,1AS002,100,*
H25C,H25C-A,PW307B,100,*
H269,H269-A,FOCA-2,100,*
H500,H500-A,FOI-87,100,*
HA4T,HA4T-A,01P07PW145,100,*
HDJT,HDJT-A,1AS001,100,*
HERN,HERN-A,FOCA-3,100,*
HR10,HR10-A,FOCA-4,100,*
HR20,HR20-A,FOCA-12,100,*
HU2,HU2-A,FOCA-10,100,*
HUCO,HUCO-A,FOI-52,100,*
HUNT,HUNT-A,1RR018,100,*
HUSK,HUSK-A,FOCA-7,100,*
I114,I114-A,FOI-75,100,*
I23,I23-A,FOCA-7,100,*
IL14,IL14-A,FOCA-14,100,*
IL18,IL18-A,FOI-5,100,*
IL62,IL62-A,1AA003,100,*
IL76,IL76-A,1AA002,83.13,*
IL76,IL76-B,13AA006,16.87,
IL86,IL86-A,1KK003,100,*
IL96,IL96-A,13AA006,99.99,*
IL96,IL96-B,4PW072,0.01,
IMPU,IMPU-A,FOCA-10,100,*
IR23,IR23-A,FOCA-3,100,*
IS28,IS28-A,FOCA-9,100,*
J328,J328-A,7PW078,100,*
JAB4,JAB4-A,FOCA-12,100,*
JABI,JABI-A,FOCA-12,100,*
JCOM,JCOM-A,1AS002,100,*
JPRO,JPRO-A,1PW036,100,*
JS1,JS1-A,FOI-101,100,*
JS31,JS31-A,FOI-102,69.51,*
JS31,JS31-B,FOI-100,25.67,
JS31,JS31-C,FOI-99,4.81,
JS32,JS32-A,FOI-106,95.25,*
JS32,JS32-B,FOI-107,4.75,
JS41,JS41-A,FOI-109,100,*
JU52,JU52-A,FOCA-20,100,*
K100,K100-A,FOI-21,100,*
KA26,KA26-A,FOCA-16,100,*
KA27,KA27-A,FOI-52,100,*
KA52,KA52-A,FOI-52,100,*
KC2,KC2-A,01P08GE193,100,*
KEST,KEST-A,FOI-109,100,*
KP2,KP2-A,FOCA-10,100,*
KR30,KR30-A,FOCA-10,100,*
L101,L101-A,1RR005,97.88,*
L101,L101-B,1RR003,2.12,
L12,L12-A,FOCA-4,100,*
L14,L14-A,FOCA-4,100,*
L188,L188-A,FOI-2,100,*
L200,L200-A,FOCA-18,100,*
L29,L29-A,1PW035,100,*
L29A,L29A-A,1AS002,100,*
L29B,L29B-A,1AS002,100,*
L37,L37-A,FOCA-20,100,*
L39,L39-A,1AS002,100,*
L40,L40-A,FOCA-13,100,*
L410,L410-A,FOI-94,99.99,*
L410,L410-B,PT6A-27,0.01,
L8,L8-A,FOCA-11,100,*
LA25,LA25-A,FOCA-3,100,*
LA4,LA4-A,FOCA-2,100,*
LA8,LA8-A,FOCA-8,100,*
LANC,LANC-A,FOCA-20,100,*
LCA,LCA-A,8RR043,100,*
LEG2,LEG2-A,FOCA-4,100,*
LGEZ,LGEZ-A,FOCA-12,100,*
LJ23,LJ23-A,1PW037,100,*
LJ24,LJ24-A,1AS002,100,*
LJ25,LJ25-A,1AS002,100,*
LJ31,LJ31-A,1AS001,100,*
LJ35,LJ35-A,1AS001,100,*
LJ40,LJ40-A,1AS002,100,*
LJ45,LJ45-A,1AS002,100,*
LJ55,LJ55-A,1AS002,100,*
LJ60,LJ60-A,PW307B,100,*
LJ70,LJ70-A,1AS002,100,*
LJ75,LJ75-A,1AS002,100,*
LNC2,LNC2-A,FOCA-2,100,*
LNC4,LNC4-A,FOCA-14,100,*
LNCE,LNCE-A,FOCA-4,100,*
LNP4,LNP4-A,FOI-16,100,*
M10,M10-A,FOCA-14,100,*
M10F,M10F-A,FOCA-13,100,*
M17,M17-A,4PW068,100,*
M18,M18-A,FOCA-16,100,*
M2,M2-A,FOCA-11,100,*
M200,M200-A,FOCA-16,100,*
M203,M203-A,FOCA-14,100,*
M20P,M20P-A,FOCA-18,100,*
M20T,M20T-A,FOCA-3,100,*
M21,M21-A,FOCA-16,100,*
M212,M212-A,FOCA-7,100,*
M22,M22-A,FOCA-16,100,*
M26,M26-A,FOCA-4,100,*
M346,M346-A,7PW077,100,*
M360,M360-A,FOCA-2,100,*
M5,M5-A,FOCA-8,100,*
M55,M55-A,4PW068,100,*
M6,M6-A,FOCA-8,100,*
M7,M7-A,FOCA-8,100,*
M7T,M7T-A,FOI-11,100,*
M8,M8-A,FOCA-8,100,*
MA60,MA60-A,FOI-83,100,*
MCR1,MCR1-A,FOCA-9,100,*
MCR4,MCR4-A,FOCA-12,100,*
MD11,MD11-A,2GE049,74.28,*
MD11,MD11-B,1PW052,25.72,
MD52,MD52-A,FOI-87,100,*
MD81,MD81-A,4PW070,98.75,*
MD81,MD81-B,4PW068,1.25,
MD82,MD82-A,4PW070,76.16,*
MD82,MD82-B,4PW069,16.69,
MD82,MD82-C,4PW071,4.44,
MD82,MD82-D,4PW068,2.7,
MD83,MD83-A,4PW071,87.04,*
MD83,MD83-B,4PW070,12.95,
MD83,MD83-C,4PW068,0.01,
MD87,MD87-A,4PW070,97.4,*
MD87,MD87-B,4PW071,2.6,
MD88,MD88-A,4PW070,62.25,*
MD88,MD88-B,4PW071,37.75,
MD90,MD90-A,1IA002,80.07,*
MD90,MD90-B,1IA004,19.93,
MG15,MG15-A,1AS002,100,*
MG17,MG17-A,7PW077,100,*
MI14,MI14-A,FOI-52,100,*
MI2,MI2-A,FOI-51,100,*
MI26,MI26-A,FOI-52,100,*
MI28,MI28-A,FOI-52,100,*
MI8,MI8-A,FOI-52,100,*
MOL1,MOL1-A,FOCA-14,100,*
MOR2,MOR2-A,FOCA-6,100,*
MP20,MP20-A,FOCA-11,100,*
MRJ9,MRJ9-A,01P22PW169,100,*
MS18,MS18-A,FOCA-8,100,*
MS30,MS30-A,FOCA-4,100,*
MS76,MS76-A,FOI-29,100,*
MU2,MU2-A,FOI-115,28.4,
MU2,MU2-B,FOI-117,58.99,*
MU2,MU2-C,FOI-110,7.52,
MU2,MU2-D,FOI-95,5.08,
MU30,MU30-A,1PW036,100,*
N262,N262-A,FOI-7,100,*
NAVI,NAVI-A,FOCA-3,100,*
NG5,NG5-A,FOCA-11,100,*
NH90,NH90-A,FOI-52,100,*
NOMA,NOMA-A,FOI-11,100,*
OSCR,OSCR-A,FOCA-11,100,*
P06T,P06T-A,FOCA-11,100,*
P100,P100-A,FOCA-5,100,*
P148,P148-A,FOCA-2,100,*
P149,P149-A,FOCA-3,100,*
P180,P180-A,FOI-41,100,*
P2,P2-A,FOCA-11,57.14,*
P2,P2-B,FOCA-20,42.86,
P208,P208-A,FOCA-11,100,*
P210,P210-A,FOCA-16,100,*
P212,P212-A,FOCA-14,100,*
P28A,P28A-A,FOCA-18,100,*
P28B,P28B-A,FOCA-8,100,*
P28R,P28R-A,FOCA-18,100,*
P28S,P28S-A,FOCA-2,100,*
P28T,P28T-A,FOCA-11,100,*
P28U,P28U-A,FOCA-2,100,*
P3,P3-A,FOI-92,100,*
P32R,P32R-A,FOCA-4,100,*
P32T,P32T-A,FOCA-16,100,*
P337,P337-A,FOCA-15,100,*
P38,P38-A,FOCA-20,100,*
P39,P39-A,FOCA-20,100,*
P40,P40-A,FOCA-20,100,*
P46T,P46T-A,FOI-25,97.15,*
P46T,P46T-B,FOCA-14,2.85,
P47,P47-A,FOCA-20,100,*
P51,P51-A,FOCA-4,100,*
P60,P60-A,FOCA-11,100,*
P66P,P66P-A,FOCA-11,100,*
P68,P68-A,FOCA-2,95.62,*
P68,P68-B,FOCA-15,4.38,
P68T,P68T-A,FOI-11,66.36,*
P68T,P68T-B,FOCA-8,33.64,
P750,P750-A,FOI-21,100,*
P8,P8-A,01P11CM121,100,*
P808,P808-A,1PW037,100,*
P82,P82-A,FOCA-20,100,*
PA11,PA11-A,FOCA-5,100,*
PA12,PA12-A,FOCA-5,100,*
PA14,PA14-A,FOCA-12,100,*
PA18,PA18-A,FOCA-6,100,*
PA20,PA20-A,FOCA-11,100,*
PA22,PA22-A,FOCA-6,100,*
PA23,PA23-A,FOCA-6,99.84,*
PA23,PA23-B,FOCA-7,0.16,
PA24,PA24-A,FOCA-11,100,*
PA25,PA25-A,FOCA-8,100,*
PA27,PA27-A,FOCA-3,96.4,*
PA27,PA27-B,FOCA-14,3.14,
PA27,PA27-C,FOCA-8,0.46,
PA30,PA30-A,FOCA-1,100,*
PA31,PA31-A,FOCA-14,99.63,*
PA31,PA31-B,FOCA-3,0.37,
PA32,PA32-A,1AS001,100,*
PA34,PA34-A,FOCA-15,94.04,*
PA34,PA34-B,FOCA-2,5.46,
PA34,PA34-C,FOCA-18,0.5,
PA36,PA36-A,FOCA-15,100,*
PA38,PA38-A,FOCA-5,100,*
PA44,PA44-A,FOCA-7,98.12,*
PA44,PA44-B,FOCA-15,1.88,
PA46,PA46-A,FOI-21,72.07,*
PA46,PA46-B,FOCA-14,27.93,
PA47,PA47-A,1PW037,100,*
PAT2,PAT2-A,FOCA-12,100,*
PAT4,PAT4-A,FOI-10,100,*
PAY1,PAY1-A,FOI-10,88.43,*
PAY1,PAY1-B,PT6A-28,11.57,
PAY2,PAY2-A,PT6A-28,80.43,*
PAY2,PAY2-B,FOI-16,19.57,
PAY3,PAY3-A,FOI-34,76.19,*
PAY3,PAY3-B,FOI-24,23.81,
PAY4,PAY4-A,FOI-108,100,*
PC12,PC12-A,FOI-46,100,*
PC21,PC21-A,FOI-50,100,*
PC24,PC24-A,1AS001,100,*
PC6P,PC6P-A,FOCA-14,100,*
PC6T,PC6T-A,PT6A-27,100,*
PC9,PC9-A,FOI-35,100,*
PEGA,PEGA-A,FOCA-4,100,*
PELI,PELI-A,FOCA-9,100,*
PEMB,PEMB-A,FOCA-14,100,*
PIAT,PIAT-A,FOCA-11,100,*
PICO,PICO-A,FOCA-7,100,*
PINO,PINO-A,FOCA-7,100,*
PIPA,PIPA-A,FOCA-11,100,*
PIVI,PIVI-A,FOCA-11,100,*
PNR3,PNR3-A,FOCA-11,100,*
PNR4,PNR4-A,FOCA-11,100,*
PRM1,PRM1-A,1AS001,100,*
PROC,PROC-A,FOCA-2,100,*
PROT,PROT-A,FOCA-5,100,*
PTS2,PTS2-A,FOCA-3,100,*
PUP,PUP-A,FOCA-6,100,*
PZ01,PZ01-A,FOCA-3,100,*
PZ04,PZ04-A,FOCA-3,100,*
PZ06,PZ06-A,FOCA-4,100,*
PZ6T,PZ6T-A,FOCA-11,100,*
R100,R100-A,FOCA-7,100,*
R135,R135-A,01P08CM109,82.14,*
R135,R135-B,1PW001,17.86,
R200,R200-A,FOCA-12,100,*
R22,R22-A,FOCA-6,100,*
R300,R300-A,FOCA-6,100,*
R4,R4-A,FOCA-2,100,*
R44,R44-A,FOCA-8,100,*
R721,R721-A,4PW071,100,*
R90F,R90F-A,FOCA-3,100,*
R90R,R90R-A,FOCA-15,100,*
R90T,R90T-A,FOI-11,100,*
RALL,RALL-A,FOCA-6,100,*
RANG,RANG-A,FOCA-3,100,*
RF6,RF6-A,FOCA-3,100,*
RJ1H,RJ1H-A,1TL004,100,*
RJ70,RJ70-A,1TL004,100,*
RJ85,RJ85-A,1TL004,99.94,*
RJ85,RJ85-B,1TL003,0.06,
RV10,RV10-A,FOCA-8,100,*
RV4,RV4-A,FOCA-7,100,*
RV6,RV6-A,FOCA-7,100,*
RV7,RV7-A,FOCA-1,100,*
RV8,RV8-A,FOCA-2,100,*
RV9,RV9-A,FOCA-7,100,*
S05F,S05F-A,FOCA-7,100,*
S05R,S05R-A,FOCA-2,100,*
S200,S200-A,1PW035,100,*
S208,S208-A,FOCA-2,100,*
S210,S210-A,8RR043,100,*
S211,S211-A,1PW036,100,*
S223,S223-A,FOCA-2,100,*
S22T,S22T-A,FOCA-11,100,*
S2P,S2P-A,FOCA-20,100,*
S2T,S2T-A,FOI-44,100,*
S3,S3-A,1GE034,100,*
S360,S360-A,FOI-52,100,*
S450,S450-A,FOCA-11,100,*
S601,S601-A,1PW036,100,*
S61,S61-A,FOI-52,100,*
S65C,S65C-A,FOI-54,100,*
S76,S76-A,FOI-59,100,*
S92,S92-A,FOI-52,100,*
SA20,SA20-A,FOCA-2,100,*
SA30,SA30-A,FOCA-7,100,*
SA50,SA50-A,FOCA-9,100,*
SAH1,SAH1-A,FOCA-6,100,*
SB20,SB20-A,FOI-3,100,*
SB29,SB29-A,7PW078,100,*
SB32,SB32-A,1RR018,100,*
SB91,SB91-A,FOCA-6,100,*
SBR1,SBR1-A,1AS002,100,*
SBR2,SBR2-A,1AS002,100,*
SC01,SC01-A,FOCA-9,100,*
SC7,SC7-A,TPE331-2,100,*
SD4,SD4-A,FOI-112,100,*
SF2,SF2-A,FOCA-10,100,*
SF25,SF25-A,FOCA-9,100,*
SF34,SF34-A,FOI-7,65.7,*
SF34,SF34-B,FOI-6,34.3,
SF50,SF50-A,1AS001,100,*
SG37,SG37-A,FOCA-5,100,*
SG70,SG70-A,FOCA-11,100,*
SH33,SH33-A,FOI-29,100,*
SH36,SH36-A,FOI-49,85.7,*
SH36,SH36-B,FOI-38,9.54,
SH36,SH36-C,FOI-40,4.75,
SHRK,SHRK-A,FOCA-10,100,*
SIRA,SIRA-A,FOCA-11,100,*
SJ30,SJ30-A,1AS001,100,*
SK70,SK70-A,FOCA-14,100,*
SM20,SM20-A,FOI-16,100,*
SM92,SM92-A,FOCA-14,100,*
SP7,SP7-A,FOCA-15,100,*
SR01,SR01-A,FOCA-10,100,*
SR20,SR20-A,FOCA-2,100,*
SR22,SR22-A,FOCA-11,100,*
SS2T,SS2T-A,FOI-21,100,*
ST10,ST10-A,FOCA-2,100,*
ST60,ST60-A,FOCA-3,100,*
STAR,STAR-A,FOI-43,100,*
SU25,SU25-A,1RR018,100,*
SU95,SU95-A,01P11PJ003,94.7,*
SU95,SU95-B,01P11PJ004,5.3,
SUBA,SUBA-A,FOCA-7,100,*
SW2,SW2-A,FOI-110,100,*
SW3,SW3-A,FOI-100,64.62,*
SW3,SW3-B,FOI-102,22.9,
SW3,SW3-C,FOI-113,12.45,
SW3,SW3-D,FOI-114,0.03,
SW4,SW4-A,FOI-104,37.36,
SW4,SW4-B,TPE331-12,45.02,*
SW4,SW4-C,FOI-114,7.46,
SW4,SW4-D,FOI-101,4.11,
SW4,SW4-E,FOI-106,3.85,
SW4,SW4-F,FOI-113,1.25,
SW4,SW4-G,FOI-102,0.88,
SW4,SW4-H,1AS002,0.06,
SX30,SX30-A,FOCA-4,100,*
T1,T1-A,1AS002,100,*
T10,T10-A,FOCA-11,100,*
T134,T134-A,1AA001,100,*
T154,T154-A,1AA004,95.06,*
T154,T154-B,1KK002,4.94,
T160,T160-A,2CM013,100,*
T204,T204-A,13AA006,99.03,*
T204,T204-B,5RR038,0.96,
T204,T204-C,13AA008,0,
T206,T206-A,FOCA-11,100,*
T210,T210-A,FOCA-4,100,*
T250,T250-A,FOCA-8,100,*
T28,T28-A,FOCA-20,100,*
T30,T30-A,FOCA-4,100,*
T33,T33-A,7PW077,100,*
T34T,T34T-A,FOI-18,100,*
T4,T4-A,1AS002,100,*
TAMP,TAMP-A,FOCA-11,100,*
TB05,TB05-A,FOCA-7,100,*
TB20,TB20-A,FOCA-3,66.74,*
TB20,TB20-B,FOCA-11,33.26,
TB21,TB21-A,FOCA-3,100,*
TB31,TB31-A,FOI-11,100,*
TBEE,TBEE-A,FOCA-7,100,*
TBM,TBM-A,FOCA-20,100,*
TBM7,TBM7-A,FOI-36,100,*
TBM8,TBM8-A,FOI-36,100,*
TBM9,TBM9-A,FOI-36,100,*
TEX2,TEX2-A,FOI-50,100,*
TFUN,TFUN-A,FOCA-10,100,*
TIGR,TIGR-A,FOI-52,100,*
TL20,TL20-A,FOCA-10,100,*
TOBA,TOBA-A,FOCA-7,100,*
TR1,TR1-A,FOCA-3,100,*
TR20,TR20-A,FOCA-2,100,*
TRF1,TRF1-A,FOCA-3,100,*
TRIM,TRIM-A,FOCA-4,100,*
TRIS,TRIS-A,FOCA-8,100,*
TUTR,TUTR-A,FOCA-8,100,*
TWEN,TWEN-A,FOCA-11,100,*
U16,U16-A,FOCA-20,100,*
U21,U21-A,FOI-18,100,*
UT75,UT75-A,FOCA-2,100,*
V1,V1-A,FOI-38,100,*
V22,V22-A,FOI-85,100,*
VAMP,VAMP-A,1PW038,100,*
VC10,VC10-A,3CM031,100,*
VELO,VELO-A,FOCA-2,100,*
VF14,VF14-A,1RR001,100,*
VGUL,VGUL-A,FOCA-15,100,*
VK3P,VK3P-A,FOCA-4,100,*
VL3,VL3-A,FOCA-4,100,*
VO10,VO10-A,FOCA-6,100,*
VTOR,VTOR-A,FOCA-8,98.97,*
VTOR,VTOR-B,FOI-11,1.03,
WA40,WA40-A,FOCA-7,100,*
WA41,WA41-A,FOCA-7,100,*
WA42,WA42-A,FOCA-3,100,*
WA50,WA50-A,FOCA-7,100,*
WACF,WACF-A,FOCA-2,100,*
WACO,WACO-A,FOCA-3,100,*
WT9,WT9-A,FOCA-11,100,*
WW24,WW24-A,1AS002,100,*
XL2,XL2-A,FOCA-13,100,*
Y11,Y11-A,FOCA-4,100,*
Y12,Y12-A,FOI-15,100,*
Y130,Y130-A,7PW077,100,*
Y18T,Y18T-A,FOCA-14,100,*
YK18,YK18-A,FOCA-4,100,*
YK40,YK40-A,FOI-5,100,*
YK42,YK42-A,1ZM001,100,*
YK52,YK52-A,FOCA-14,100,*
Z42,Z42-A,FOCA-7,100,*
Z43,Z43-A,FOCA-2,100,*
ZERO,ZERO-A,FOCA-16,100,*
