oid,engine_name,engine_type,max_shp_per_engine,shp_correction_factor,number_of_engines,gi1_time_min,gi2_time_min,to_time_min,ap_time_min,gi1_ff_per_engine_kg_s,gi2_ff_per_engine_kg_s,to_ff_per_engine_kg_s,ap_ff_per_engine_kg_s,gi1_einox_g_kg,gi2_einox_g_kg,to_einox_g_kg,ap_einox_g_kg,gi1_eihc_g_kg,gi2_eihc_g_kg,to_eihc_g_kg,ap_eihc_g_kg,gi1_eico_g_kg,gi2_eico_g_kg,to_eico_g_kg,ap_eico_g_kg,gi1_eipm_g_kg,gi2_eipm_g_kg,to_eipm_g_kg,ap_eipm_g_kg
1,DDA250-C20R/1,TURBOSHAFT,450,1.65,2,4,1,3,5.5,0.0111,0.0094,0.032,0.024,1.498,1.237,5.887,3.914,91.965,132.269,6.804,14.794,122.94,178.605,8.463,18.801,0.113006532,0.1109001,0.182746992,0.144661872
2,PW206C,TURBOSHAFT,550,1.64,2,4,1,3,5.5,0.0123,0.0104,0.0362,0.0256,1.679,1.387,6.597,4.386,74.045,106.494,5.478,11.911,98.391,142.941,6.773,15.047,0.114639492,0.1120713,0.198284592,0.152961072
3,PW207C,TURBOSHAFT,650,1.38,2,4,1,3,5.5,0.0134,0.0116,0.0408,0.0289,1.846,1.525,7.253,4.822,61.82,88.913,4.574,9.945,81.738,118.748,5.627,12.5,0.116267748,0.1132401,0.213238128,0.161121648
4,ARRIEL1K1,TURBOSHAFT,738,1.22,2,4,1,3,5.5,0.0142,0.0122,0.0446,0.0304,1.984,1.639,7.795,5.182,53.898,77.518,3.988,8.67,70.993,103.138,4.887,10.857,0.117696722,0.114266659,0.225914102,0.168188285
5,ARRIUS 2K,TURBOSHAFT,670,1.34,2,4,1,3,5.5,0.0136,0.0118,0.0416,0.0292,1.878,1.551,7.379,4.906,59.83,86.05,4.426,9.625,79.034,114.82,5.441,12.087,0.116592835,0.113473572,0.216158748,0.162737128
6,DDA250-C20B,TURBOSHAFT,420,1.65,2,4,1,3,5.5,0.0107,0.0091,0.0308,0.0234,1.44,1.19,5.661,3.763,99.08,142.502,7.33,15.939,132.724,192.82,9.137,20.298,0.112515727,0.110548272,0.17797182,0.14214508
7,DDA250-C20R,TURBOSHAFT,450,1.65,2,4,1,3,5.5,0.0111,0.0094,0.032,0.024,1.498,1.237,5.887,3.914,91.965,132.269,6.804,14.794,122.94,178.605,8.463,18.801,0.113006532,0.1109001,0.182746992,0.144661872
8,PT6B-37,TURBOSHAFT,900,1.0,1,4,1,3,5.5,0.0225,0.0157,0.0569,0.0361,3.422,2.22,9.283,6.465,19.097,43.499,2.86,5.693,24.443,56.957,3.473,7.046,0.1366716,0.120317808,0.261460848,0.195341952
9,PT6C-67C,TURBOSHAFT,1100,1.65,2,4,1,3,5.5,0.0196,0.0185,0.0591,0.0414,2.28,2.055,8.893,5.896,41.368,50.371,3.104,6.783,54.091,66.224,3.777,8.436,0.121009152,0.11847,0.252100992,0.182949888
10,ARTOUSTE IIC5,TURBOSHAFT,402,1.0,1,4,1,3,5.5,0.0154,0.0105,0.0319,0.0246,2.166,1.405,5.875,4.091,45.607,103.881,6.83,13.595,59.795,139.337,8.497,17.237,0.11969486,0.11222104,0.182491206,0.147718089
11,ARTOUSTE IIC6,TURBOSHAFT,402,1.0,1,4,1,3,5.5,0.0154,0.0105,0.0319,0.0246,2.166,1.405,5.875,4.091,45.607,103.881,6.83,13.595,59.795,139.337,8.497,17.237,0.11969486,0.11222104,0.182491206,0.147718089
12,ARTOUSTE IIIB,TURBOSHAFT,563,1.0,1,4,1,3,5.5,0.0182,0.0124,0.0397,0.0277,2.622,1.701,7.113,4.953,31.698,72.2,4.747,9.449,41.143,95.872,5.846,11.86,0.125241921,0.114851431,0.209992774,0.163665636
13,ASTAZOU XIVB,TURBOSHAFT,590,1.0,1,4,1,3,5.5,0.0186,0.0127,0.0411,0.0282,2.693,1.747,7.304,5.087,30.134,68.638,4.513,8.983,39.058,91.015,5.55,11.259,0.126166692,0.115291359,0.214420421,0.166288514
14,MAKILA 1A1,TURBOSHAFT,1820,1.65,2,4,1,3,5.5,0.0238,0.0221,0.0789,0.053,3.034,2.736,11.836,7.847,24.014,29.241,1.802,3.938,30.931,37.869,2.16,4.824,0.130868705,0.126736752,0.320593659,0.227138028
15,ARRIEL 2B,TURBOSHAFT,848,1.0,1,4,1,3,5.5,0.0219,0.0152,0.0542,0.035,3.308,2.146,8.975,6.25,20.365,46.387,3.05,6.071,26.112,60.847,3.71,7.527,0.134923976,0.119477817,0.254057615,0.190604736
16,ARRIEL 2B1,TURBOSHAFT,848,1.0,1,4,1,3,5.5,0.0219,0.0152,0.0542,0.035,3.308,2.146,8.975,6.25,20.365,46.387,3.05,6.071,26.112,60.847,3.71,7.527,0.134923976,0.119477817,0.254057615,0.190604736
17,ARRIEL 1B,TURBOSHAFT,641,1.0,1,4,1,3,5.5,0.0192,0.0133,0.0436,0.031,2.822,1.831,7.656,5.332,27.553,62.758,4.127,8.213,35.624,83.013,5.062,10.269,0.127909185,0.116121398,0.222639229,0.171202434
18,ARRIEL 1D1,TURBOSHAFT,732,1.0,1,4,1,3,5.5,0.0205,0.0142,0.0482,0.0327,3.043,1.974,8.256,5.749,23.872,54.375,3.575,7.116,30.743,71.639,4.369,8.862,0.131004382,0.117599408,0.236834689,0.179839164
19,ARRIEL 1D1,TURBOSHAFT,732,1.0,1,4,1,3,5.5,0.0205,0.0142,0.0482,0.0327,3.043,1.974,8.256,5.749,23.872,54.375,3.575,7.116,30.743,71.639,4.369,8.862,0.131004382,0.117599408,0.236834689,0.179839164
20,DDA250-C20F,TURBOSHAFT,420,1.65,2,4,1,3,5.5,0.0107,0.0091,0.0308,0.0234,1.44,1.19,5.661,3.763,99.08,142.502,7.33,15.939,132.724,192.82,9.137,20.298,0.112515727,0.110548272,0.17797182,0.14214508
21,ARRIUS 1A,TURBOSHAFT,480,1.65,2,4,1,3,5.5,0.0114,0.0097,0.0332,0.0245,1.554,1.284,6.106,4.06,85.773,123.363,6.346,13.798,114.441,166.258,7.878,17.502,0.113496914,0.111251712,0.187469599,0.147166188
22,ARRIEL 1D1,TURBOSHAFT,712,1.65,2,4,1,3,5.5,0.014,0.0121,0.0435,0.0299,1.944,1.606,7.638,5.078,56.027,80.58,4.145,9.013,73.876,107.326,5.086,11.298,0.117274904,0.113963551,0.222216003,0.166111588
23,ARRIEL 1A1,TURBOSHAFT,641,1.65,2,4,1,3,5.5,0.0133,0.0115,0.0404,0.0287,1.831,1.513,7.196,4.784,62.758,90.262,4.643,10.096,83.013,120.6,5.715,12.695,0.116121398,0.113135006,0.211916227,0.160392873
24,ARRIEL 1A2,TURBOSHAFT,641,1.65,2,4,1,3,5.5,0.0133,0.0115,0.0404,0.0287,1.831,1.513,7.196,4.784,62.758,90.262,4.643,10.096,83.013,120.6,5.715,12.695,0.116121398,0.113135006,0.211916227,0.160392873
25,ARRIEL 1C,TURBOSHAFT,660,1.65,2,4,1,3,5.5,0.0135,0.0117,0.0412,0.0291,1.862,1.538,7.316,4.864,60.809,87.459,4.499,9.782,80.364,116.752,5.532,12.29,0.116430315,0.113356848,0.214701358,0.161930081
26,ARRIEL 1C1,TURBOSHAFT,700,1.65,2,4,1,3,5.5,0.0139,0.012,0.0429,0.0297,1.925,1.59,7.565,5.029,57.065,82.073,4.222,9.18,75.283,109.371,5.182,11.513,0.117080112,0.1138236,0.220495872,0.165149952
27,ARRIEL 2C,TURBOSHAFT,839,1.65,2,4,1,3,5.5,0.0151,0.013,0.0493,0.032,2.133,1.762,8.384,5.574,46.925,67.49,3.472,7.549,61.572,89.451,4.239,9.416,0.119332305,0.115442577,0.239905203,0.176166548
28,DDA250-C20,TURBOSHAFT,400,1.0,1,4,1,3,5.5,0.0154,0.0105,0.0318,0.0246,2.16,1.401,5.858,4.08,45.853,104.442,6.867,13.668,60.127,140.111,8.544,17.333,0.1196256,0.112188288,0.182137728,0.147516672
29,DDA250-C20B,TURBOSHAFT,420,1.0,1,4,1,3,5.5,0.0158,0.0107,0.0327,0.025,2.22,1.44,6.023,4.194,43.499,99.08,6.515,12.967,56.957,132.724,8.094,16.419,0.120317808,0.112515727,0.185659432,0.149527188
30,DDA250-C20J,TURBOSHAFT,420,1.0,1,4,1,3,5.5,0.0158,0.0107,0.0327,0.025,2.22,1.44,6.023,4.194,43.499,99.08,6.515,12.967,56.957,132.724,8.094,16.419,0.120317808,0.112515727,0.185659432,0.149527188
31,DDA250-C20R,TURBOSHAFT,450,1.0,1,4,1,3,5.5,0.0163,0.0111,0.0341,0.0256,2.309,1.498,6.263,4.362,40.376,91.965,6.047,12.036,52.758,122.94,7.497,15.209,0.1213545,0.113006532,0.190887492,0.152527728
32,DDA250-C20R/4,TURBOSHAFT,450,1.0,1,4,1,3,5.5,0.0163,0.0111,0.0341,0.0256,2.309,1.498,6.263,4.362,40.376,91.965,6.047,12.036,52.758,122.94,7.497,15.209,0.1213545,0.113006532,0.190887492,0.152527728
33,DDA250-C20R,TURBOSHAFT,450,1.0,1,4,1,3,5.5,0.0163,0.0111,0.0341,0.0256,2.309,1.498,6.263,4.362,40.376,91.965,6.047,12.036,52.758,122.94,7.497,15.209,0.1213545,0.113006532,0.190887492,0.152527728
34,DDA250-C30,TURBOSHAFT,650,1.0,1,4,1,3,5.5,0.0193,0.0134,0.0441,0.0311,2.845,1.846,7.717,5.374,27.141,61.82,4.065,8.091,35.077,81.738,4.984,10.112,0.1282161,0.116267748,0.224069988,0.172064112
35,DDA250-C30P,TURBOSHAFT,650,1.0,1,4,1,3,5.5,0.0193,0.0134,0.0441,0.0311,2.845,1.846,7.717,5.374,27.141,61.82,4.065,8.091,35.077,81.738,4.984,10.112,0.1282161,0.116267748,0.224069988,0.172064112
36,DDA250-C20R,TURBOSHAFT,450,1.65,2,4,1,3,5.5,0.0111,0.0094,0.032,0.024,1.498,1.237,5.887,3.914,91.965,132.269,6.804,14.794,122.94,178.605,8.463,18.801,0.113006532,0.1109001,0.182746992,0.144661872
37,DDA250-C20,TURBOSHAFT,400,1.65,2,4,1,3,5.5,0.0105,0.009,0.03,0.0231,1.401,1.157,5.506,3.66,104.442,150.213,7.727,16.801,140.111,203.551,9.645,21.427,0.112188288,0.1103136,0.174759168,0.140460288
38,DDA250-C20B,TURBOSHAFT,420,1.65,2,4,1,3,5.5,0.0107,0.0091,0.0308,0.0234,1.44,1.19,5.661,3.763,99.08,142.502,7.33,15.939,132.724,192.82,9.137,20.298,0.112515727,0.110548272,0.17797182,0.14214508
39,DDA250-C40B,TURBOSHAFT,715,1.65,2,4,1,3,5.5,0.014,0.0121,0.0436,0.03,1.948,1.61,7.657,5.09,55.773,80.215,4.126,8.972,73.532,106.827,5.062,11.245,0.117323592,0.113998533,0.222644722,0.166351685
40,LTS101-750C.1,TURBOSHAFT,735,1.65,2,4,1,3,5.5,0.0142,0.0122,0.0445,0.0303,1.979,1.635,7.777,5.171,54.136,77.86,4.005,8.709,71.315,103.605,4.909,10.906,0.117648067,0.114231693,0.225489413,0.167949144
41,DDA250-C47B,TURBOSHAFT,650,1.0,1,4,1,3,5.5,0.0193,0.0134,0.0441,0.0311,2.845,1.846,7.717,5.374,27.141,61.82,4.065,8.091,35.077,81.738,4.984,10.112,0.1282161,0.116267748,0.224069988,0.172064112
42,PT6T-3,TURBOSHAFT,1800,1.65,2,4,1,3,5.5,0.0236,0.022,0.0783,0.0527,3.015,2.718,11.762,7.798,24.302,29.592,1.823,3.985,31.312,38.336,2.187,4.884,0.130597248,0.1265088,0.318983808,0.225979392
43,DDA250-C40B,TURBOSHAFT,715,1.65,2,4,1,3,5.5,0.014,0.0121,0.0436,0.03,1.948,1.61,7.657,5.09,55.773,80.215,4.126,8.972,73.532,106.827,5.062,11.245,0.117323592,0.113998533,0.222644722,0.166351685
44,ARRIEL 1E2,TURBOSHAFT,738,1.65,2,4,1,3,5.5,0.0142,0.0122,0.0446,0.0304,1.984,1.639,7.795,5.182,53.898,77.518,3.988,8.67,70.993,103.138,4.887,10.857,0.117696722,0.114266659,0.225914102,0.168188285
45,ARRIEL 1E2,TURBOSHAFT,738,1.65,2,4,1,3,5.5,0.0142,0.0122,0.0446,0.0304,1.984,1.639,7.795,5.182,53.898,77.518,3.988,8.67,70.993,103.138,4.887,10.857,0.117696722,0.114266659,0.225914102,0.168188285
46,LTS101-750B.1,TURBOSHAFT,727,1.65,2,4,1,3,5.5,0.0141,0.0122,0.0441,0.0302,1.967,1.625,7.729,5.138,54.779,78.786,4.053,8.812,72.186,104.871,4.969,11.04,0.1175183,0.114138441,0.22435434,0.167310826
47,ARRIUS 2F,TURBOSHAFT,432,1.0,1,4,1,3,5.5,0.016,0.0109,0.0333,0.0252,2.256,1.464,6.12,4.262,42.196,96.111,6.32,12.578,55.204,128.638,7.844,15.914,0.120732718,0.1127121,0.187758504,0.150729598
48,ARRIEL 2B1,TURBOSHAFT,848,1.0,1,4,1,3,5.5,0.0219,0.0152,0.0542,0.035,3.308,2.146,8.975,6.25,20.365,46.387,3.05,6.071,26.112,60.847,3.71,7.527,0.134923976,0.119477817,0.254057615,0.190604736
49,ARRIUS 2B1,TURBOSHAFT,633,1.65,2,4,1,3,5.5,0.0133,0.0115,0.0401,0.0286,1.818,1.502,7.145,4.75,63.616,91.495,4.707,10.234,84.178,122.293,5.795,12.874,0.115991276,0.113041573,0.210737233,0.15974413
50,ARRIUS 2B2,TURBOSHAFT,633,1.65,2,4,1,3,5.5,0.0133,0.0115,0.0401,0.0286,1.818,1.502,7.145,4.75,63.616,91.495,4.707,10.234,84.178,122.293,5.795,12.874,0.115991276,0.113041573,0.210737233,0.15974413
51,ARRIEL 2C1,TURBOSHAFT,839,1.65,2,4,1,3,5.5,0.0151,0.013,0.0493,0.032,2.133,1.762,8.384,5.574,46.925,67.49,3.472,7.549,61.572,89.451,4.239,9.416,0.119332305,0.115442577,0.239905203,0.176166548
52,ARRIEL 2C2,TURBOSHAFT,944,1.65,2,4,1,3,5.5,0.016,0.0137,0.0542,0.0337,2.281,1.885,8.965,5.96,41.314,59.419,3.057,6.646,54.018,78.477,3.719,8.261,0.121027576,0.116662472,0.253818742,0.184310859
53,DDA250-C20W,TURBOSHAFT,420,1.0,1,4,1,3,5.5,0.0158,0.0107,0.0327,0.025,2.22,1.44,6.023,4.194,43.499,99.08,6.515,12.967,56.957,132.724,8.094,16.419,0.120317808,0.112515727,0.185659432,0.149527188
54,PW206A,TURBOSHAFT,621,1.65,2,4,1,3,5.5,0.0132,0.0114,0.0396,0.0284,1.798,1.486,7.068,4.699,64.944,93.406,4.805,10.447,85.986,124.919,5.919,13.15,0.115796038,0.112901395,0.208961732,0.158769352
55,ASTAZOU IIIA,TURBOSHAFT,644,1.0,1,4,1,3,5.5,0.0193,0.0134,0.0438,0.031,2.83,1.836,7.677,5.346,27.414,62.443,4.106,8.172,35.44,82.584,5.036,10.216,0.128011509,0.116170185,0.223116803,0.171489843
56,ASTAZOU IIIN2,TURBOSHAFT,644,1.0,1,4,1,3,5.5,0.0193,0.0134,0.0438,0.031,2.83,1.836,7.677,5.346,27.414,62.443,4.106,8.172,35.44,82.584,5.036,10.216,0.128011509,0.116170185,0.223116803,0.171489843
57,ASTAZOU XIVG,TURBOSHAFT,590,1.0,1,4,1,3,5.5,0.0186,0.0127,0.0411,0.0282,2.693,1.747,7.304,5.087,30.134,68.638,4.513,8.983,39.058,91.015,5.55,11.259,0.126166692,0.115291359,0.214420421,0.166288514
58,ASTAZOU XIVH,TURBOSHAFT,590,1.0,1,4,1,3,5.5,0.0186,0.0127,0.0411,0.0282,2.693,1.747,7.304,5.087,30.134,68.638,4.513,8.983,39.058,91.015,5.55,11.259,0.126166692,0.115291359,0.214420421,0.166288514
59,DDA250-C18,TURBOSHAFT,317,1.0,1,4,1,3,5.5,0.0137,0.0094,0.0284,0.0227,1.892,1.228,5.134,3.575,58.947,134.266,8.828,17.572,77.836,181.377,11.06,22.438,0.116743704,0.110827407,0.16721206,0.139086198
60,DDA250-C20B,TURBOSHAFT,420,1.0,1,4,1,3,5.5,0.0158,0.0107,0.0327,0.025,2.22,1.44,6.023,4.194,43.499,99.08,6.515,12.967,56.957,132.724,8.094,16.419,0.120317808,0.112515727,0.185659432,0.149527188
61,DDA250-C20R,TURBOSHAFT,450,1.0,1,4,1,3,5.5,0.0163,0.0111,0.0341,0.0256,2.309,1.498,6.263,4.362,40.376,91.965,6.047,12.036,52.758,122.94,7.497,15.209,0.1213545,0.113006532,0.190887492,0.152527728
62,T 64-GE-7,TURBOSHAFT,3925,1.65,2,4,1,3,5.5,0.034,0.0311,0.1435,0.0813,4.693,4.232,18.31,12.139,10.47,12.749,0.786,1.717,13.18,16.136,0.92,2.056,0.158666628,0.150191925,0.396502788,0.327098112
63,T 64-GE-7,TURBOSHAFT,3925,2.47,3,4,1,3,5.5,0.034,0.0311,0.1435,0.0813,4.693,4.232,18.31,12.139,10.47,12.749,0.786,1.717,13.18,16.136,0.92,2.056,0.158666628,0.150191925,0.396502788,0.327098112
64,T700-GE-700,TURBOSHAFT,1622,1.65,2,4,1,3,5.5,0.0227,0.0211,0.0732,0.0501,2.842,2.562,11.087,7.351,27.195,33.114,2.04,4.459,35.149,43.033,2.455,5.482,0.128175188,0.124475798,0.303919225,0.215494305
65,TV3-117VMA,TURBOSHAFT,2200,1.65,2,4,1,3,5.5,0.0258,0.0238,0.0904,0.0582,3.379,3.046,13.181,8.739,19.567,23.825,1.468,3.208,25.06,30.681,1.75,3.909,0.136000128,0.1310496,0.348002688,0.248404992
66,T53 17A-1,TURBOSHAFT,1500,1.0,1,4,1,3,5.5,0.0332,0.0234,0.0836,0.0576,4.573,2.967,12.406,8.64,10.999,25.053,1.647,3.279,13.864,32.307,1.97,3.997,0.156414,0.129918,0.33267,0.2460288
67,ARTOUSTE IIIB,TURBOSHAFT,563,1.0,1,4,1,3,5.5,0.0182,0.0124,0.0397,0.0277,2.622,1.701,7.113,4.953,31.698,72.2,4.747,9.449,41.143,95.872,5.846,11.86,0.125241921,0.114851431,0.209992774,0.163665636
68,DDA250-C20,TURBOSHAFT,400,1.0,1,4,1,3,5.5,0.0154,0.0105,0.0318,0.0246,2.16,1.401,5.858,4.08,45.853,104.442,6.867,13.668,60.127,140.111,8.544,17.333,0.1196256,0.112188288,0.182137728,0.147516672
69,DDA250-C47M,TURBOSHAFT,650,1.0,1,4,1,3,5.5,0.0193,0.0134,0.0441,0.0311,2.845,1.846,7.717,5.374,27.141,61.82,4.065,8.091,35.077,81.738,4.984,10.112,0.1282161,0.116267748,0.224069988,0.172064112
70,TV2-117,TURBOSHAFT,1500,1.65,2,4,1,3,5.5,0.022,0.0205,0.0699,0.0482,2.718,2.451,10.605,7.031,29.592,36.033,2.22,4.852,38.336,46.935,2.677,5.979,0.1265088,0.123078,0.2928288,0.208128
71,DDA250-C30S,TURBOSHAFT,650,1.65,2,4,1,3,5.5,0.0134,0.0116,0.0408,0.0289,1.846,1.525,7.253,4.822,61.82,88.913,4.574,9.945,81.738,118.748,5.627,12.5,0.116267748,0.1132401,0.213238128,0.161121648
72,PT6B-36A,TURBOSHAFT,981,1.65,2,4,1,3,5.5,0.0163,0.0139,0.0558,0.0343,2.331,1.926,9.162,6.091,39.633,57.002,2.932,6.376,51.761,75.198,3.563,7.916,0.121623721,0.117091709,0.258568174,0.187144343
73,ARRIEL 2S1,TURBOSHAFT,856,1.65,2,4,1,3,5.5,0.0153,0.0131,0.0501,0.0322,2.158,1.783,8.48,5.638,45.919,66.043,3.397,7.387,60.216,87.481,4.145,9.209,0.119607129,0.115640264,0.242201559,0.177495519
74,GE CT7-8A,TURBOSHAFT,2740,1.65,2,4,1,3,5.5,0.0285,0.0262,0.1073,0.0652,3.827,3.451,14.93,9.899,15.437,18.797,1.158,2.531,19.641,24.047,1.372,3.063,0.143206303,0.137118768,0.376564869,0.276184596
75,T53 L13,TURBOSHAFT,1400,1.0,1,4,1,3,5.5,0.0321,0.0227,0.0797,0.0557,4.398,2.853,11.929,8.308,11.85,26.991,1.775,3.532,14.968,34.878,2.127,4.315,0.1531776,0.128329728,0.322618368,0.238088832
76,VO-540-1B,PISTON,320,1.0,1,4,4,4,5.5,0.004,0.004,0.0249,0.0134,1.0,1.0,1.0,4.0,18.661,18.661,10.816,12.704,1000.0,1000.0,1000.0,1000.0,0.05,0.05,0.1,0.04
77,LYC TVO-435-B1A,PISTON,270,1.0,1,4,4,4,5.5,0.0034,0.0034,0.0193,0.011,1.0,1.0,1.0,4.0,19.804,19.804,11.479,13.482,1000.0,1000.0,1000.0,1000.0,0.05,0.05,0.1,0.04
78,LYC VO-435-A1D,PISTON,220,1.0,1,4,4,4,5.5,0.0028,0.0028,0.0148,0.0087,1.0,1.0,1.0,4.0,21.276,21.276,12.332,14.484,1000.0,1000.0,1000.0,1000.0,0.05,0.05,0.1,0.04
79,HIO-360,PISTON,190,1.0,1,4,4,4,5.5,0.0024,0.0024,0.0124,0.0074,1.0,1.0,1.0,4.0,22.396,22.396,12.981,15.247,1000.0,1000.0,1000.0,1000.0,0.05,0.05,0.1,0.04
80,ROTORWAY RI-162,PISTON,150,1.0,1,4,4,4,5.5,0.002,0.002,0.0095,0.0057,1.0,1.0,1.0,4.0,24.328,24.328,14.101,16.562,1000.0,1000.0,1000.0,1000.0,0.05,0.05,0.1,0.04
81,HIO-360,PISTON,190,1.0,1,4,4,4,5.5,0.0024,0.0024,0.0124,0.0074,1.0,1.0,1.0,4.0,22.396,22.396,12.981,15.247,1000.0,1000.0,1000.0,1000.0,0.05,0.05,0.1,0.04
82,HIO-360,PISTON,190,1.0,1,4,4,4,5.5,0.0024,0.0024,0.0124,0.0074,1.0,1.0,1.0,4.0,22.396,22.396,12.981,15.247,1000.0,1000.0,1000.0,1000.0,0.05,0.05,0.1,0.04
83,HO-360,PISTON,180,1.0,1,4,4,4,5.5,0.0023,0.0023,0.0117,0.007,1.0,1.0,1.0,4.0,22.824,22.824,13.229,15.538,1000.0,1000.0,1000.0,1000.0,0.05,0.05,0.1,0.04
84,HIO-540,PISTON,245,1.0,1,4,4,4,5.5,0.0031,0.0031,0.017,0.0098,1.0,1.0,1.0,4.0,20.489,20.489,11.876,13.949,1000.0,1000.0,1000.0,1000.0,0.05,0.05,0.1,0.04
85,ROTORWAY RW 133,PISTON,133,1.0,1,4,4,4,5.5,0.0018,0.0018,0.0083,0.005,1.0,1.0,1.0,4.0,25.374,25.374,14.707,17.274,1000.0,1000.0,1000.0,1000.0,0.05,0.05,0.1,0.04
86,ALVIS LEONIDES,PISTON,550,1.0,1,4,4,4,5.5,0.0071,0.0071,0.0914,0.0287,1.0,1.0,1.0,4.0,15.438,15.438,8.949,10.51,1000.0,1000.0,1000.0,1000.0,0.05,0.05,0.1,0.04
